username,num_solved,total_sym_step,inc_dia,inc_sym,hints,hints_sym,first_try,tot_time,adj_tot_time,condition,CK_post,PK_post,CKPK_pre,perc_hint_steps,perc_first_try,avg_inc_sym,avg_hints_sym,avg_time_per_step,adj_avg_tps
slowant,37,286,14,24,2,2,322,2805.5569999218,2576.7536501487098,interleaved,5,7,10,0.005934718100890208,0.9554896142433235,0.08391608391608392,0.006993006993006993,9.80963985986643,7.646153264536231
slowbat,5,24,4,28,55,55,15,1273.37700009346,530.9515500068665,interleaved,2,0,0,0.2,0.5,1.1666666666666667,2.2916666666666665,53.0573750038942,17.698385000228882
slowbear,18,60,17,95,15,15,57,86471.6969993114,1155.8300530129673,interleaved,0,0,6,0.05128205128205128,0.7307692307692307,1.5833333333333333,0.25,1441.19494998852,14.81833401298676
slowbird,41,244,28,72,7,7,278,260247.467000246,2014.7740115163283,interleaved,5,7,10,0.013513513513513514,0.9391891891891891,0.29508196721311475,0.028688524590163935,1066.58797950921,6.806668957825433
slowbison,49,255,2,112,39,39,286,2367.32800102234,2255.851884361108,interleaved,2,4,8,0.021739130434782608,0.8881987577639752,0.4392156862745098,0.15294117647058825,9.28363921969545,7.005751193668038
slowcat,52,267,4,18,17,17,337,262023.635998964,1929.4913827313455,interleaved,5,7,8,0.049132947976878616,0.9739884393063584,0.06741573033707865,0.06367041198501873,981.361932580391,5.576564689974987
slowdeer,38,246,6,79,55,55,267,430142.470000267,2285.699014042028,interleaved,3,5,6,0.03389830508474576,0.9050847457627119,0.32113821138211385,0.22357723577235772,1748.54662601735,7.748132250989926
slowdog,24,170,0,10,5,5,196,2181.95000004768,1022.6009830753009,interleaved,3,2,4,0.01,0.98,0.058823529411764705,0.029411764705882353,12.8350000002805,5.1130049153765045
slowdragon,45,277,32,240,79,79,286,260819.440999269,3005.261410332074,interleaved,3,2,7,0.029411764705882353,0.8411764705882353,0.8664259927797834,0.2851985559566787,941.586429600251,8.839004148035512
slowfish,47,254,23,363,131,131,271,344439.875999928,2916.3220633976493,interleaved,3,2,6,0.03785488958990536,0.8548895899053628,1.4291338582677164,0.515748031496063,1356.06250393672,9.19975414321025
slowlion,17,82,11,151,107,107,66,346322.830000162,2163.835862542802,interleaved,1,0,1,0.12745098039215685,0.6470588235294118,1.8414634146341464,1.3048780487804879,4223.44914634344,21.214077083752958
slowmonkey,30,134,39,218,179,179,113,171973.864999771,2738.796695878572,interleaved,2,0,0,0.17159763313609466,0.6686390532544378,1.626865671641791,1.335820895522388,1283.3870522371,16.205897608748945
slowotter,31,209,28,104,299,299,193,86285.4259998798,2609.9841689064106,interleaved,2,1,4,0.10441767068273092,0.7751004016064257,0.49760765550239233,1.430622009569378,412.84892822909,10.481864132154259
slowowl,35,207,13,248,52,52,219,99290.3409993649,2235.30646407187,interleaved,2,2,4,0.02,0.876,1.1980676328502415,0.25120772946859904,479.663483088719,8.94122585628748
slowrabbit,43,256,3,48,21,21,297,3047.05500006676,2224.67494944334,interleaved,2,4,7,0.018808777429467086,0.9310344827586207,0.1875,0.08203125,11.9025585940108,6.9739026628317875
slowshark,4,14,2,58,8,8,0,85338.1749999523,334.85467598378654,interleaved,3,0,1,0.2,0,4.142857142857143,0.5714285714285714,6095.58392856802,22.32364506558577
slowswan,8,26,4,0,4,4,32,1271.17999982834,356.8020666797956,interleaved,1,7,9,0.058823529411764705,0.9411764705882353,0,0.15384615384615385,48.8915384549361,10.494178431758694
smallbee,33,130,22,217,52,52,151,88545.0670008659,2495.0716748580667,alldiagram,0,6,7,0.04639175257731959,0.7783505154639175,1.6692307692307693,0.4,681.115900006661,12.861194200299312
smallbird,52,264,2,17,0,0,419,1041521.72900009,1731.375702452792,alldiagram,5,6,10,0,0.9905437352245863,0.06439393939393939,0,3945.15806439429,4.093086767027877
smallbison,32,129,71,370,0,0,174,87446.0659992695,1822.709548242622,alldiagram,3,0,7,0,0.8571428571428571,2.868217054263566,0,677.876480614492,8.978864769668089
smallcat,48,237,3,6,0,0,379,1193.80799889565,1193.8079988956451,alldiagram,5,5,9,0,0.9973684210526316,0.02531645569620253,0,5.0371645523023,3.141599997093803
smalldeer,30,138,4,13,4,4,209,86408.0869987011,1534.3474070197344,alldiagram,4,6,10,0.009302325581395349,0.9720930232558139,0.09420289855072464,0.028985507246376812,626.145557961602,7.136499567533648
smalldog,17,75,3,10,25,25,101,1888.97800064087,612.2147506992022,alldiagram,5,1,5,0.03508771929824561,0.8859649122807017,0.13333333333333333,0.3333333333333333,25.1863733418783,5.3703048306947565
smalldragon,26,106,48,24,0,0,157,171747.875000238,1214.4825642012336,alldiagram,4,2,6,0,0.9127906976744186,0.22641509433962265,0,1620.26297170036,7.060945140704846
smalleagle,14,47,4,15,12,12,73,813.203000068665,547.7393835783005,alldiagram,2,0,0,0.012987012987012988,0.948051948051948,0.3191489361702128,0.2553191489361702,17.3021914908227,7.113498488029876
smallhorse,52,265,3,6,0,0,421,1037806.65299988,2210.251955224543,alldiagram,3,2,8,0,0.9929245283018868,0.022641509433962263,0,3916.25152075426,5.212858384963545
smallkoala,42,168,11,51,7,7,255,429743.305000305,2043.7177853190954,alldiagram,4,3,9,0.011194029850746268,0.9514925373134329,0.30357142857142855,0.041666666666666664,2557.99586309705,7.625812631787669
smalllion,52,267,38,22,1,1,419,1036760.72500014,1666.3530659229584,alldiagram,3,3,7,0.002347417840375587,0.9835680751173709,0.08239700374531835,0.003745318352059925,3882.99897003799,3.911626915312109
smallmonkey,10,33,3,45,12,12,44,85015.4990005493,625.0577131921715,alldiagram,3,7,10,0.03773584905660377,0.8301886792452831,1.3636363636363635,0.36363636363636365,2576.22724244089,11.793541758342858
smallotter,49,240,6,11,2,2,376,1999.94100117683,1968.8890011310577,alldiagram,2,5,6,0.0026109660574412533,0.9817232375979112,0.04583333333333333,0.008333333333333333,8.33308750490348,5.140702352822605
smallowl,40,188,35,47,14,14,277,86663.2859990597,1524.9910965844658,alldiagram,1,1,0,0.016722408026755852,0.9264214046822743,0.25,0.07446808510638298,460.974925526913,5.100304670851056
smallshark,12,38,19,37,22,22,54,683.578000545502,677.5350005626678,alldiagram,2,0,1,0.03225806451612903,0.8709677419354839,0.9736842105263158,0.5789473684210527,17.9888947511974,10.92798388004303
smallsheep,18,68,5,21,18,18,103,86375.1099996567,521.0051507416036,alldiagram,6,7,5,0.01818181818181818,0.9363636363636364,0.3088235294117647,0.2647058823529412,1270.2222058773,4.7364104612873055
