username,group,inc_dia,inc_sym,hints,num_solved,tot_time,tot_time_sym,prop_hint_steps,prop_first_try,prop_first_try_sym,avg_inc_sym,avg_hints_sym,avg_tps,avg_tps_sym
fastrabbit,odd_int,4,23,13,1,569.5,494.5,0.2222222222222222,0.1111111111111111,0,3.2857142857142856,1.8571428571428572,63.27777777777778,70.64285714285714
fastshark,eve_int,0,33,12,19,1456.126,1456.126,0.024096385542168676,0.9036144578313253,0.9036144578313253,0.39759036144578314,0.14457831325301204,17.54368674698795,17.54368674698795
fastshark,odd_int,13,25,9,19,1418.334,1046.668,0.007407407407407408,0.9259259259259259,0.9166666666666666,0.2976190476190476,0.10714285714285714,10.506177777777777,12.460333333333333
slowalpaca,eve_int,0,36,92,8,1425.5,1425.5,0.13725490196078433,0.6274509803921569,0.6274509803921569,0.7058823529411765,1.803921568627451,27.95098039215686,27.95098039215686
slowalpaca,odd_int,11,47,72,8,2397.335,1846.502,0.12307692307692308,0.6461538461538462,0.5106382978723404,1,1.5319148936170213,36.88207692307692,39.28727659574468
slowant,eve_int,0,8,0,18,990.5,990.5,0,0.9782608695652174,0.9782608695652174,0.057971014492753624,0,7.177536231884058,7.177536231884058
slowant,odd_int,14,16,2,19,2367.83,1547.496,0.010050251256281407,0.9396984924623115,0.9459459459459459,0.10810810810810811,0.013513513513513514,11.898643216080401,10.456054054054055
slowbat,eve_int,0,8,21,2,555.5,555.5,0.16666666666666666,0.5,0.5,0.6666666666666666,1.75,46.291666666666664,46.291666666666664
slowbat,odd_int,4,20,34,3,629.499,603.166,0.2222222222222222,0.5,0.25,1.6666666666666667,2.8333333333333335,34.972166666666666,50.26383333333334
slowbear,eve_int,0,16,3,8,305,305,0.07692307692307693,0.8846153846153846,0.8846153846153846,0.6153846153846154,0.11538461538461539,11.73076923076923,11.73076923076923
slowbear,odd_int,17,79,12,8,2184.166,1662.832,0.038461538461538464,0.6538461538461539,0.5588235294117647,2.323529411764706,0.35294117647058826,42.00319230769231,48.90682352941177
slowbird,eve_int,0,18,1,19,1170.7,1170.7,0.008064516129032258,0.9758064516129032,0.9758064516129032,0.14516129032258066,0.008064516129032258,9.441129032258065,9.441129032258065
slowbird,odd_int,28,54,6,19,1470.253,1241.42,0.01744186046511628,0.9127906976744186,0.9,0.45,0.05,8.547982558139534,10.345166666666668
slowbison,eve_int,0,39,10,22,786.5,786.5,0.016666666666666666,0.9,0.9,0.325,0.08333333333333333,6.554166666666666,6.554166666666666
slowbison,odd_int,2,73,29,23,1343.668,1091.835,0.024752475247524754,0.8811881188118812,0.8222222222222222,0.5407407407407407,0.21481481481481482,6.651821782178217,8.087666666666667
slowcat,eve_int,0,15,8,26,805.5,805.5,0.05970149253731343,0.9626865671641791,0.9626865671641791,0.11194029850746269,0.05970149253731343,6.0111940298507465,6.0111940298507465
slowcat,odd_int,4,3,9,25,1433.995,933.496,0.04245283018867924,0.9811320754716981,0.9849624060150376,0.022556390977443608,0.06766917293233082,6.7641273584905655,7.018766917293233
slowdeer,eve_int,0,20,10,18,650.5,650.5,0.025210084033613446,0.9495798319327731,0.9495798319327731,0.16806722689075632,0.08403361344537816,5.466386554621849,5.466386554621849
slowdeer,odd_int,6,59,45,19,1804,1390.666,0.03977272727272727,0.875,0.8346456692913385,0.4645669291338583,0.3543307086614173,10.25,10.950125984251969
slowdog,eve_int,0,1,0,12,1277,1277,0,1,1,0.011904761904761904,0,15.202380952380953,15.202380952380953
slowdog,odd_int,0,9,5,12,1709.835,1236.001,0.017241379310344827,0.9655172413793104,0.9534883720930233,0.10465116279069768,0.05813953488372093,14.739956896551725,14.37210465116279
slowdragon,eve_int,0,115,45,22,1233.449,1233.449,0.034722222222222224,0.8333333333333334,0.8333333333333334,0.7986111111111112,0.3125,8.565618055555555,8.565618055555555
slowdragon,odd_int,32,125,34,22,1768.264,1300.929,0.025510204081632654,0.8469387755102041,0.7894736842105263,0.9398496240601504,0.2556390977443609,9.021755102040816,9.781421052631579
slowfish,eve_int,0,297,92,22,1961.698,1961.698,0.06382978723404255,0.7872340425531915,0.7872340425531915,2.106382978723404,0.6524822695035462,13.912751773049646,13.912751773049646
